0_Der_avg,Blink_Averaged,Time_Average,1_Der_avg,3_Der_avg
71.23855315,0,0.074,134.8021063,145.9269587
741.4223497,0,0.1248,780.2769818,243.6607657
793.4111706,0,0.173,777.369264,243.0575301
-140.9790329,0,0.2286,-48.64592536,104.2930087
-440.1250792,0,0.2748,-381.7110607,-66.03820391
-309.5733597,0,0.323,-282.492407,-76.17621033
-136.35698,0,0.3742,-95.57994079,-19.76844402
81.10775935,0,0.4248,60.60548493,101.015007
195.9530206,0,0.473,127.9316562,125.0894471
163.0609053,0,0.5242,89.16721602,54.8688537
83.11849667,0,0.5746,120.5886511,75.00701035
-17.20545944,0,0.6228,-11.17778212,71.41198129
-140.1619216,0,0.6738,-154.9565196,-69.07814706
-123.1504351,0,0.7248,-142.1725964,-83.72435034
888.0452713,0,0.773,712.4781435,177.954926
564.5810199,0,0.8242,404.6867431,83.01677445
-479.6787743,0,0.8748,-499.073309,-163.5870313
-155.4090229,0,0.923,-140.1995834,-101.4197335
-17.66806972,0,0.9742,-27.47240096,18.39392705
-126.5149483,0,1.0235,-105.6932671,-3.113172752
-71.21403928,0,1.0745,-65.09027812,22.15500159
-49.50348968,0,1.1239,-63.62394499,2.839336322
-125.6467865,0,1.1736,-33.89335896,-40.25849425
-20.50660654,0,1.2245,11.94712449,33.24458846
71.99978978,0,1.2739,16.79535278,17.87484506
90.00409087,0,1.3274,56.98780945,61.17376114
42.38179097,0,1.3745,64.76298299,45.53982701
-119.8811509,0,1.4239,-64.13206981,-24.58867077
-44.6583113,0,1.4736,-51.78158043,18.79623376
-39.00893655,0,1.5293,-81.84598982,-29.85628269
-128.9471035,0,1.5737,-153.7564234,-83.16030087
1.373749405,0,1.6236,20.55799589,-31.47385209
33.7968197,0,1.6745,9.881259972,-95.57295706
0.887590824,0,1.7239,-6.008021138,-47.1729532
-18.43925614,0,1.7802,26.12651736,86.32229571
-10.5625138,0,1.8221,34.5967481,72.59344552
67.84646658,0,1.8771,171.4130997,34.27712004
22.33517119,0,1.9236,76.07308328,-93.99807096
-104.9869934,0,1.9745,-129.1069561,-182.3933971
-72.02344538,0,2.0227,-102.6169681,-26.07293105
-191.5799806,0,2.0748,-184.8908789,79.30186149
-295.3092569,0,2.123,-257.0443929,-26.30894256
-123.6969493,0,2.1742,-158.3219357,-16.63620368
-38.34195591,0,2.2248,-49.12772957,55.17614137
10.16255203,0,2.273,85.30486044,27.89774544
93.72330241,0,2.3242,46.5597244,-51.85751648
141.2575301,0,2.3748,60.14542626,39.50381316
122.6833383,0,2.4302,122.750194,75.82606104
133.3348137,0,2.4714,129.967823,-82.85874659
18.45317205,0,2.5248,17.57653154,-128.8419151
-26.35070475,0,2.573,-70.40986571,17.83025427
-72.8646145,0,2.6242,-96.0311088,47.62455437
-249.4461712,0,2.6748,-178.3131311,-49.13543019
-95.28621484,0,2.723,-84.95181718,-11.15864667
-14.83398638,0,2.7742,-60.16674936,48.6125938
-169.3412881,0,2.8248,-183.4117475,17.29776536
-234.6704561,0,2.873,-214.7995001,-95.75871515
38.27937955,0,2.9242,129.7346782,-163.2162236
157.1008296,0,2.9748,217.2956764,-134.7948028
-104.3909956,0,3.0232,-33.36299558,-15.70426486
-293.4769027,0,3.0739,-135.7614796,158.2067648
-316.5372015,0,3.1236,-161.6145564,288.1984729
-193.2012833,0,3.1745,-75.07490771,175.3272723
8.4525178,0,3.2239,77.58871307,71.15520789
13.0680545,0,3.2736,52.6194754,0.247562309
-95.97187222,0,3.3245,-24.23488544,-165.0978683
40.94736703,0,3.3739,42.62677598,-137.6761851
134.3108699,0,3.4236,65.20479502,-3.188179312
122.3828691,0,3.4745,143.4694892,76.79499092
42.65695103,0,3.5274,105.7618302,-13.20121245
-322.4013764,0,3.5739,-279.3623956,-154.3721619
-249.2490523,0,3.6245,-247.7590208,-76.43143397
148.8560485,0,3.6739,72.45353897,52.52227083
256.4363321,0,3.7236,177.4374008,113.7695537
311.6962957,0,3.7745,248.5082039,52.76059259
224.8986658,0,3.8239,214.1878253,14.76727631
177.6221246,0,3.8736,207.0611341,89.17063264
175.1377199,0,3.9245,159.8515173,81.96643325
25.45573616,0,3.9739,-119.3795162,-7.591734598
-28.55850621,0,4.0236,-187.0280899,-111.9045684
22.43736856,0,4.0764,-32.90722907,-119.1599015
49.40747281,0,4.1246,-25.1281963,-50.35624977
147.8281471,0,4.1748,106.1019489,46.5009494
168.9733882,0,4.223,183.9366602,11.70258769
