Delta Averaged,Theta Averaged,Alpha Averaged,Beta Averaged,Gamma Averaged,Mean Delta 10sec,Median Delta 10sec,Sum Delta 10sec,STDEV Delta 10sec,Relaxed,Time Averaged,Funny/Happy
0.0496130251,0.357985338,0.19030824,0.264494766,0.13759863,,,,,1,0.1972050428,0
0.0509011391,0.345766797,0.190628904,0.269995342,0.142707818,,,,,1,0.3319692612,0
0.0509803451,0.330471529,0.198418032,0.276493957,0.143636142,,,,,1,0.4657112122,0
0.0494456178,0.333420658,0.207266074,0.273468468,0.136399176,,,,,1,0.596463871,0
0.0476836973,0.342692406,0.215551717,0.267410493,0.1266616905,,,,,1,0.7309076548,0
0.0459061316,0.35343867,0.221604023,0.260321951,0.1187292291,,,,,1,0.8647465944,0
0.0436126037,0.366143048,0.222256129,0.25302449,0.1149637341,,,,,1,1.003674817,0
0.0399355342,0.385146526,0.214731794,0.24615704,0.1140291331,,,,,1,1.141207337,0
0.04040143,0.402995659,0.212067721,0.235211585,0.1093236124,,,,,1,1.283727431,0
0.0437337589,0.427764186,0.209950849,0.218682064,0.09986915,,,,,1,1.42325573,0
0.0481089138,0.456843545,0.207315529,0.197823641,0.0899083527,,,,,1,1.55291419,0
0.0528329694,0.485036496,0.202922206,0.176700472,0.0825078436,,,,,1,1.68130343,0
0.0575889471,0.508466927,0.195945161,0.159687923,0.0783110529,,,,,1,1.819637465,0
0.0619564869,0.521998275,0.188059509,0.149458514,0.0785272151,,,,,1,1.953781557,0
0.0644537737,0.524168497,0.177564097,0.149825366,0.0839882475,,,,,1,2.090913296,0
0.0613374406,0.51553438,0.17245137,0.158132567,0.0925442186,,,,,1,2.227759171,0
0.0525930624,0.499507616,0.174055933,0.171094692,0.102748684,,,,,1,2.35919416,0
0.0452557052,0.481825711,0.176437809,0.184350406,0.1121303824,,,,,1,2.498622489,0
0.0422933547,0.461782494,0.180298957,0.195258361,0.1203667971,,,,,1,2.634956837,0
0.0413541453,0.438715404,0.184468249,0.205774752,0.129687448,,,,,1,2.770598531,0
0.0407560612,0.413041111,0.183773266,0.220011507,0.142418036,,,,,1,2.907427907,0
0.0389828262,0.386258703,0.178138041,0.23763965,0.158980764,,,,,1,3.041868377,0
0.0352526116,0.363248471,0.168909973,0.255374825,0.177214116,,,,,1,3.177805328,0
0.0307069615,0.345120088,0.158356537,0.269804659,0.19601176,,,,,1,3.315272498,0
0.0260385389,0.332366313,0.14473263,0.284468717,0.212393798,,,,,1,3.468041158,0
0.0235041168,0.323120686,0.124602157,0.301547149,0.227225913,,,,,1,3.616596365,0
0.0220569978,0.312762182,0.1101499223,0.317289066,0.237741851,,,,,1,3.763502836,0
0.0202773625,0.302591395,0.1018020123,0.33201736,0.243311865,,,,,1,3.904225945,0
0.018489851,0.293809564,0.0985146972,0.34196875,0.247217153,,,,,1,7.952961326,0
0.0177560015,0.289557172,0.0987292325,0.344819652,0.249137929,,,,,1,11.92989056,0
0.0176476095,0.28689647,0.0998807189,0.347503258,0.248071946,,,,,1,11.96589336,0
0.0176234662,0.280543913,0.100188179,0.354789963,0.246854478,,,,,1,12.0028959,0
0.0174960811,0.272301381,0.0996429787,0.363120329,0.247439244,,,,,1,12.03710325,0
